Position,PointID,LineID
0,145,78
1,156,78
2,157,78
3,158,78
4,159,78
5,146,78
0,147,79
1,160,79
2,161,79
3,162,79
4,163,79
5,148,79
0,149,80
1,164,80
2,165,80
3,166,80
4,167,80
5,150,80
0,151,81
1,168,81
2,169,81
3,170,81
4,171,81
5,152,81
0,145,82
1,172,82
2,173,82
3,174,82
4,175,82
5,176,82
0,147,83
1,180,83
2,181,83
3,182,83
4,183,83
5,184,83
0,149,84
1,188,84
2,189,84
3,190,84
4,191,84
5,192,84
0,151,85
1,196,85
2,197,85
3,198,85
4,199,85
5,200,85
