Position,PointID,LineID
0,142,79
1,151,79
2,152,79
3,153,79
4,154,79
5,143,79
0,144,80
1,155,80
2,156,80
3,157,80
4,158,80
5,145,80
0,146,81
1,159,81
2,160,81
3,161,81
4,162,81
5,147,81
0,148,82
1,163,82
2,164,82
3,165,82
4,166,82
5,149,82
0,172,94
1,210,94
2,211,94
3,212,94
4,213,94
5,173,94
0,168,95
1,214,95
2,215,95
3,216,95
4,217,95
5,174,95
0,170,96
1,218,96
2,219,96
3,220,96
4,221,96
5,176,96
0,178,97
1,222,97
2,223,97
3,224,97
4,225,97
5,179,97
